"filename", "language", "JSON", "Minecraft Function", "Markdown", "CSV", "comment", "blank", "total"
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\.VSCodeCounter\2025-04-07_21-17-14\details.md", "Markdown", 0, 0, 1013, 0, 0, 6, 1019
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\.VSCodeCounter\2025-04-07_21-17-14\diff-details.md", "Markdown", 0, 0, 773, 0, 0, 6, 779
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\.VSCodeCounter\2025-04-07_21-17-14\diff.csv", "CSV", 0, 0, 0, 766, 0, 0, 766
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\.VSCodeCounter\2025-04-07_21-17-14\diff.md", "Markdown", 0, 0, 229, 0, 0, 7, 236
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\.VSCodeCounter\2025-04-07_21-17-14\results.csv", "CSV", 0, 0, 0, 1006, 0, 0, 1006
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\.VSCodeCounter\2025-04-07_21-17-14\results.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\.VSCodeCounter\2025-04-07_21-17-14\results.md", "Markdown", 0, 0, 283, 0, 0, 7, 290
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\advancement\items\customs\hype-o-meter.json", "JSON", 23, 0, 0, 0, 0, 0, 23
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\advancement\items\shop\ocean\bossfrucht\stage_4.json", "JSON", 23, 0, 0, 0, 0, 0, 23
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\advancement\other\detect_bonemeal.json", "JSON", 15, 0, 0, 0, 0, 1, 16
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\advancement\other\detect_farmslot_placing_stage_4.json", "JSON", 18, 0, 0, 0, 0, 2, 20
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\advancement\test.json", "JSON", 19, 0, 0, 0, 0, 3, 22
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\advancement\test_2.json", "JSON", 21, 0, 0, 0, 0, 0, 21
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\damage_type\boss_stage_1.json", "JSON", 6, 0, 0, 0, 0, 0, 6
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\damage_type\boss_stage_2.json", "JSON", 6, 0, 0, 0, 0, 0, 6
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\damage_type\boss_stage_3.json", "JSON", 6, 0, 0, 0, 0, 0, 6
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\custom-items\customs\hype-o-meter.mcfunction", "Minecraft Function", 0, 11, 0, 0, 0, 4, 15
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\custom-items\customs\lebensfrucht.mcfunction", "Minecraft Function", 0, 15, 0, 0, 0, 13, 28
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\custom-items\lebensfrucht.mcfunction", "Minecraft Function", 0, -15, 0, 0, 0, -13, -28
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\custom-items\shop\ocean\bossfrucht\main_handling.mcfunction", "Minecraft Function", 0, 6, 0, 0, 0, 1, 7
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\custom-items\shop\ocean\bossfrucht\stage_4.mcfunction", "Minecraft Function", 0, 8, 0, 0, 0, 9, 17
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\custom-items\shop\sky\sauger\show_size.mcfunction", "Minecraft Function", 0, 32, 0, 0, 0, 12, 44
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\debug\fun\rick.mcfunction", "Minecraft Function", 0, 2, 0, 0, 0, 0, 2
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\debug\fun\rick_2.mcfunction", "Minecraft Function", 0, 1, 0, 0, 0, 0, 1
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\debug\portal\stage_1.mcfunction", "Minecraft Function", 0, 4, 0, 0, 0, 0, 4
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\debug\portal\stage_2.mcfunction", "Minecraft Function", 0, 4, 0, 0, 0, 0, 4
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\debug\portal\stage_3.mcfunction", "Minecraft Function", 0, 4, 0, 0, 0, 0, 4
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\debug\villager\fisher\respawn_all.mcfunction", "Minecraft Function", 0, 2, 0, 0, 0, 1, 3
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\debug\villager\fisher\spawn_here.mcfunction", "Minecraft Function", 0, 1, 0, 0, 0, 1, 2
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\debug\villager\stage-4_main\respawn_all.mcfunction", "Minecraft Function", 0, 2, 0, 0, 0, 1, 3
