"filename", "language", "JSON", "MCMETA", "mcfunction", "comment", "blank", "total"
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\farming-frucht.json", "JSON", 18, 0, 0, 0, 1, 19
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\fishing-frucht.json", "JSON", 18, 0, 0, 0, 1, 19
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\foraging-frucht.json", "JSON", 18, 0, 0, 0, 1, 19
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\items\customs\boss-keks\stage_1.json", "JSON", 23, 0, 0, 0, 0, 23
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\items\customs\boss-keks\stage_2.json", "JSON", 23, 0, 0, 0, 0, 23
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\items\customs\boss-keks\stage_3.json", "JSON", 23, 0, 0, 0, 0, 23
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\items\customs\hype-o-meter.json", "JSON", 23, 0, 0, 0, 0, 23
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\items\customs\lebensfrucht.json", "JSON", 23, 0, 0, 0, 0, 23
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\items\illegale_lizenzen\stage_1.json", "JSON", 18, 0, 0, 0, 1, 19
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\items\illegale_lizenzen\stage_2.json", "JSON", 18, 0, 0, 0, 1, 19
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\items\illegale_lizenzen\stage_3.json", "JSON", 18, 0, 0, 0, 1, 19
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\items\illegale_lizenzen\stage_4.json", "JSON", 18, 0, 0, 0, 1, 19
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\items\mystery\barriere_stab.json", "JSON", 18, 0, 0, 0, 1, 19
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\items\mystery\excalibur.json", "JSON", 18, 0, 0, 0, 1, 19
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\items\mystery\tp_schwert.json", "JSON", 18, 0, 0, 0, 1, 19
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\items\mystery\zerberster.json", "JSON", 18, 0, 0, 0, 1, 19
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\items\shop\nether\big_heal_pot.json", "JSON", 18, 0, 0, 0, 2, 20
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\items\shop\nether\hot_lava.json", "JSON", 18, 0, 0, 0, 2, 20
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\items\shop\nether\small_heal_pot.json", "JSON", 18, 0, 0, 0, 2, 20
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\items\shop\ocean\bossfrucht\stage_1.json", "JSON", 23, 0, 0, 0, 0, 23
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\items\shop\ocean\bossfrucht\stage_2.json", "JSON", 23, 0, 0, 0, 0, 23
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\items\shop\ocean\bossfrucht\stage_3.json", "JSON", 23, 0, 0, 0, 0, 23
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\items\shop\ocean\bossfrucht\stage_4.json", "JSON", 23, 0, 0, 0, 0, 23
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\items\shop\ocean\luck-potion.json", "JSON", 18, 0, 0, 0, 2, 20
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\items\shop\ocean\magisches_wasser.json", "JSON", 18, 0, 0, 0, 2, 20
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\items\shop\ocean\water-breathing.json", "JSON", 18, 0, 0, 0, 2, 20
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\items\shop\sky\manatrank.json", "JSON", 18, 0, 0, 0, 2, 20
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\advancement\items\shop\stone\hastetrank.json", "JSON", 18, 0, 0, 0, 2, 20
